127.0.0.1 - - [17/Mar/2022:09:34:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:05:41 +0900] "GET /struts2/ajax4/changeHtmlUsingDOM.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:13:13 +0900] "GET /struts2/ajax4/changeHtmlUsingDOM.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:13:14 +0900] "GET /struts2/ajax4/changeHtmlUsingDOM.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:13:15 +0900] "GET /struts2/ajax4/changeHtmlUsingDOM.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:17:43 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:17:43 +0900] "GET /struts2/data/js/httpRequest.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:21:35 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:21:35 +0900] "GET /struts2/ajax4/books.xml HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:38 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:38 +0900] "GET /struts2/ajax4/books.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:39 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:39 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:40 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:40 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:22:52 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:12 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:12 +0900] "GET /struts2/ajax4/books.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:12 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:13 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:13 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:13 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:14 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:14 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:14 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:14 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:14 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:15 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:16 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:16 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:16 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:16 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:25:36 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:18 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:19 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:19 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:19 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:20 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:20 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:44:32 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:45 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:46 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:46 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:47 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:47 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:48 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:45:48 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:46:33 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:49:11 +0900] "GET /struts2/ajax4/getBooksXML.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/Mar/2022:10:49:12 +0900] "GET /struts2/ajax4/books.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:09:58 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:09:58 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:01 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:04 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:07 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:10 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:13 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:16 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:19 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:22 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:25 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:28 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:29 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:29 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:30 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:30 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:31 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:32 +0900] "GET /struts2/ajax4/newsTitleXML.jsp HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:32 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:35 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:38 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:41 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:44 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:47 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:50 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:53 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:56 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:10:59 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:02 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:05 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:08 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:11 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:14 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:17 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:20 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:23 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:26 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:29 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:32 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:35 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:38 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:41 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:11:44 +0900] "GET /struts2/ajax4/newsTitleXML_ok.jsp HTTP/1.1" 200 779
